"Part";"Value";"Device";"Package";"Description";"COST01";"COST10";"COST100";"MFR";"MPN";"MPN2";"OC_MOUSER";"OC_SEEED";"SKU";"VALUE";
"A";"SPST, TACT, MOM";"PUSHBTN-MOMB3FS-BLIND";"B3FS-BACKMOUNT";"Pushbutton Switch";"0.15";"0.12";"0.09";"CK";"B3FS";"Tayda A-3961(2.3mm), A-5134(3.14mm,RA)";"";"";"";"SPST, TACT, MOM";
"A#";"SPST, TACT, MOM";"PUSHBTN-MOMB3FS-BLIND";"B3FS-BACKMOUNT";"Pushbutton Switch";"0.15";"0.12";"0.09";"CK";"B3FS";"Tayda A-3961(2.3mm), A-5134(3.14mm,RA)";"";"";"";"SPST, TACT, MOM";
"B";"SPST, TACT, MOM";"PUSHBTN-MOMB3FS-BLIND";"B3FS-BACKMOUNT";"Pushbutton Switch";"0.15";"0.12";"0.09";"CK";"B3FS";"Tayda A-3961(2.3mm), A-5134(3.14mm,RA)";"";"";"";"SPST, TACT, MOM";
"C";"SPST, TACT, MOM";"PUSHBTN-MOMB3FS-BLIND";"B3FS-BACKMOUNT";"Pushbutton Switch";"0.15";"0.12";"0.09";"CK";"B3FS";"Tayda A-3961(2.3mm), A-5134(3.14mm,RA)";"";"";"";"SPST, TACT, MOM";
"C#";"SPST, TACT, MOM";"PUSHBTN-MOMB3FS-BLIND";"B3FS-BACKMOUNT";"Pushbutton Switch";"0.15";"0.12";"0.09";"CK";"B3FS";"Tayda A-3961(2.3mm), A-5134(3.14mm,RA)";"";"";"";"SPST, TACT, MOM";
"C1";"0.1uF";"CAPACITOR0603";"0603-CAP";"Capacitor";"0.12";"0.09";"0.05";"";"";"";"";"";"";"";
"C2";"SPST, TACT, MOM";"PUSHBTN-MOMB3FS-BLIND";"B3FS-BACKMOUNT";"Pushbutton Switch";"0.15";"0.12";"0.09";"CK";"B3FS";"Tayda A-3961(2.3mm), A-5134(3.14mm,RA)";"";"";"";"SPST, TACT, MOM";
"C5";"1uF";"CAPACITOR0603";"0603-CAP";"Capacitor";"0.12";"0.09";"0.05";"";"";"";"";"";"";"";
"C6";"1uF";"CAPACITOR0603";"0603-CAP";"Capacitor";"0.12";"0.09";"0.05";"";"";"";"";"";"";"";
"C7";"1uF";"CAPACITOR0603";"0603-CAP";"Capacitor";"0.12";"0.09";"0.05";"";"";"";"";"";"";"";
"C9";"0.1uF";"CAPACITOR0603";"0603-CAP";"Capacitor";"0.12";"0.09";"0.05";"";"";"";"";"";"";"";
"C10";"0.1uF";"CAPACITOR0603";"0603-CAP";"Capacitor";"0.12";"0.09";"0.05";"";"";"";"";"";"";"";
"C15";"1.0uF";"CAPACITOR0603";"0603-CAP";"Capacitor";"0.12";"0.09";"0.05";"";"";"";"";"";"";"";
"C16";"18pF";"CAPACITOR0603";"0603-CAP";"Capacitor";"0.12";"0.09";"0.05";"";"";"";"";"";"";"";
"C17";"18pF";"CAPACITOR0603";"0603-CAP";"Capacitor";"0.12";"0.09";"0.05";"";"";"";"";"";"";"";
"C18";"0.1uF";"CAPACITOR0603";"0603-CAP";"Capacitor";"0.12";"0.09";"0.05";"";"";"";"";"";"";"";
"C19";"0.1uF";"CAPACITOR0603";"0603-CAP";"Capacitor";"0.12";"0.09";"0.05";"";"";"";"";"";"";"";
"CONST";"Scorpio";"CONSTELLATION-SCORPIO";"SCORPIO-CONST";"Constellations";"";"";"";"";"";"";"";"";"";"Scorpio";
"CV_GND";"PAD-70X70SMD-070X070";"PAD-70X70SMD-070X070";"SMD-070MIL";"Solder Pad";"";"";"";"";"";"";"";"";"";"";
"D";"SPST, TACT, MOM";"PUSHBTN-MOMB3FS-BLIND";"B3FS-BACKMOUNT";"Pushbutton Switch";"0.15";"0.12";"0.09";"CK";"B3FS";"Tayda A-3961(2.3mm), A-5134(3.14mm,RA)";"";"";"";"SPST, TACT, MOM";
"D#";"SPST, TACT, MOM";"PUSHBTN-MOMB3FS-BLIND";"B3FS-BACKMOUNT";"Pushbutton Switch";"0.15";"0.12";"0.09";"CK";"B3FS";"Tayda A-3961(2.3mm), A-5134(3.14mm,RA)";"";"";"";"SPST, TACT, MOM";
"D4";"MMDL914";"DIODE-SWITCHING-SOD323";"SOD-323";"Diode";"";"";"";"ON Semi";"MMDL914";"";"";"";"";"MMDL914";
"D5";"MMDL914";"DIODE-SWITCHING-SOD323";"SOD-323";"Diode";"";"";"";"ON Semi";"MMDL914";"";"";"";"";"MMDL914";
"D6";"MMDL914";"DIODE-SWITCHING-SOD323";"SOD-323";"Diode";"";"";"";"ON Semi";"MMDL914";"";"";"";"";"MMDL914";
"D7";"MMDL914";"DIODE-SWITCHING-SOD323";"SOD-323";"Diode";"";"";"";"ON Semi";"MMDL914";"";"";"";"";"MMDL914";
"D8";"MMDL914";"DIODE-SWITCHING-SOD323";"SOD-323";"Diode";"";"";"";"ON Semi";"MMDL914";"";"";"";"";"MMDL914";
"D9";"MMDL914";"DIODE-SWITCHING-SOD323";"SOD-323";"Diode";"";"";"";"ON Semi";"MMDL914";"";"";"";"";"MMDL914";
"D10";"MMDL914";"DIODE-SWITCHING-SOD323";"SOD-323";"Diode";"";"";"";"ON Semi";"MMDL914";"";"";"";"";"MMDL914";
"D11";"MMDL914";"DIODE-SWITCHING-SOD323";"SOD-323";"Diode";"";"";"";"ON Semi";"MMDL914";"";"";"";"";"MMDL914";
"D12";"MMDL914";"DIODE-SWITCHING-SOD323";"SOD-323";"Diode";"";"";"";"ON Semi";"MMDL914";"";"";"";"";"MMDL914";
"D13";"MMDL914";"DIODE-SWITCHING-SOD323";"SOD-323";"Diode";"";"";"";"ON Semi";"MMDL914";"";"";"";"";"MMDL914";
"D14";"MMDL914";"DIODE-SWITCHING-SOD323";"SOD-323";"Diode";"";"";"";"ON Semi";"MMDL914";"";"";"";"";"MMDL914";
"D15";"MMDL914";"DIODE-SWITCHING-SOD323";"SOD-323";"Diode";"";"";"";"ON Semi";"MMDL914";"";"";"";"";"MMDL914";
"D16";"MMDL914";"DIODE-SWITCHING-SOD323";"SOD-323";"Diode";"";"";"";"ON Semi";"MMDL914";"";"";"";"";"MMDL914";
"E";"SPST, TACT, MOM";"PUSHBTN-MOMB3FS-BLIND";"B3FS-BACKMOUNT";"Pushbutton Switch";"0.15";"0.12";"0.09";"CK";"B3FS";"Tayda A-3961(2.3mm), A-5134(3.14mm,RA)";"";"";"";"SPST, TACT, MOM";
"F";"SPST, TACT, MOM";"PUSHBTN-MOMB3FS-BLIND";"B3FS-BACKMOUNT";"Pushbutton Switch";"0.15";"0.12";"0.09";"CK";"B3FS";"Tayda A-3961(2.3mm), A-5134(3.14mm,RA)";"";"";"";"SPST, TACT, MOM";
"F#";"SPST, TACT, MOM";"PUSHBTN-MOMB3FS-BLIND";"B3FS-BACKMOUNT";"Pushbutton Switch";"0.15";"0.12";"0.09";"CK";"B3FS";"Tayda A-3961(2.3mm), A-5134(3.14mm,RA)";"";"";"";"SPST, TACT, MOM";
"G";"SPST, TACT, MOM";"PUSHBTN-MOMB3FS-BLIND";"B3FS-BACKMOUNT";"Pushbutton Switch";"0.15";"0.12";"0.09";"CK";"B3FS";"Tayda A-3961(2.3mm), A-5134(3.14mm,RA)";"";"";"";"SPST, TACT, MOM";
"G#";"SPST, TACT, MOM";"PUSHBTN-MOMB3FS-BLIND";"B3FS-BACKMOUNT";"Pushbutton Switch";"0.15";"0.12";"0.09";"CK";"B3FS";"Tayda A-3961(2.3mm), A-5134(3.14mm,RA)";"";"";"";"SPST, TACT, MOM";
"GATE2EG";"JST, SH, 2P";"02P-SM-VT-SMT";"BM02B-SRSS-TB";"2 pin connector";"0.45";"0.4";"0.35";"JST";"BMB02B-SRSS-TB";"";"";"";"";"JST, SH, 2P";
"GLIDE";"1M";"TRIMPOT9MM_PCB_SHAFT";"POT-RV9110";"Potentiometer";"0.70";"0.60";"0.60";"Tayda";"RV9110NO-OS15A00";"";"";"";"A-5517";"";
"GLYPH";"Scorpio";"GLYPH-SCORPIO";"SCORPIO-GLYPH";"Glyph";"";"";"";"";"";"";"";"";"";"Scorpio";
"GND";"PAD-70X70SMD-070X070";"PAD-70X70SMD-070X070";"SMD-070MIL";"Solder Pad";"";"";"";"";"";"";"";"";"";"";
"ICSP";"Connector, 6P, SM, VT";"06P-SM-VT-SMT";"BM06B-SRSS-TB";"Connector, 6P";"0.60";"0.52";"0.49";"JST";"BM06-SRSS-TB";"";"";"";"";"Connector, 6P, SM, VT";
"KB2VCO";"JST, SH, 2P";"02P-SM-VT-SMT";"BM02B-SRSS-TB";"2 pin connector";"0.45";"0.4";"0.35";"JST";"BMB02B-SRSS-TB";"";"";"";"";"JST, SH, 2P";
"KB_CV";"PAD-70X70SMD-070X070";"PAD-70X70SMD-070X070";"SMD-070MIL";"Solder Pad";"";"";"";"";"";"";"";"";"";"";
"MIDI_IN>";"PAD-70X70SMD-070X070";"PAD-70X70SMD-070X070";"SMD-070MIL";"Solder Pad";"";"";"";"";"";"";"";"";"";"";
"MIDI_OUT>";"PAD-70X70SMD-070X070";"PAD-70X70SMD-070X070";"SMD-070MIL";"Solder Pad";"";"";"";"";"";"";"";"";"";"";
"PCB";"PCB FAB";"PENTAGON-40R";"PENTAGON-40MM-RAD";"Pentagram shaped PCB";"";"";"";"";"";"";"";"";"";"PCB FAB";
"PWR";"JST SM 3P";"03P-SM-VT-SMT";"BM03B-SRSS-TB";"3 pin connector";"0.60";"0.45";"0.38";"JST";"BM03B-SRSS-TB";"";"";"";"";"JST SM 3P";
"R8";"100K";"RESISTOR0603";"0603-RES";"Resistor";"0.10";"0.05";"0.02";"";"";"";"";"";"";"";
"R16";"10.0M";"RESISTOR0603";"0603-RES";"Resistor";"0.10";"0.05";"0.02";"";"";"";"";"";"";"";
"RGB";"SK2812B_3535";"SMART_LED3535";"SMD_3535";"Smart LED  SK6812  WS2812";"0.60";"0.50";"0.40";"";"";"";"";"";"";"SK2812B_3535";
"TRIG2EG";"JST, SH, 2P";"02P-SM-VT-SMT";"BM02B-SRSS-TB";"2 pin connector";"0.45";"0.4";"0.35";"JST";"BMB02B-SRSS-TB";"";"";"";"";"JST, SH, 2P";
"U1";"ATmega328P-MU";"ATMEGA328MU";"MLF32";"Atmega 328P";"";"";"";"Atmel";"atmega328p-mu";"";"556-ATMEGA328P-MU";"310010005";"";"ATmega328P-MU";
"U2";"TL072A";"DUALTL072A";"SOP08";"Dual Op-Amp";"0.65";"0.55";"0.45";"ST";"TL072A";"";"";"";"";"TL072A";
"VR";"5V";"LDO-3P--5V-SOT23";"SOT-23";"regulator 3-pin";"0.66";"0.56";"0.39";"Diodes, Inc.";"AP7387-50SA";"";"";"";"";"5V";
"X1";"16MHz";"2P3.2X2.5";"32X25";"Crystal";"";"";"";"Epson";"FA-238 16.0000MB-K3";"";"";"";"";"16MHz";
