"Part";"Value";"Device";"Package";"Description";"COST01";"COST10";"COST100";"MFR";"MOUSER";"MPN";"MPN2";"OC_MOUSER";"OC_SEEED";"VALUE";
"A0";"PADSMD-050X050";"PADSMD-050X050";"SMD-050X050";"Solder Pad";"";"";"";"";"";"";"";"";"";"";
"A1";"PADSMD-050X050";"PADSMD-050X050";"SMD-050X050";"Solder Pad";"";"";"";"";"";"";"";"";"";"";
"A2";"PADSMD-050X050";"PADSMD-050X050";"SMD-050X050";"Solder Pad";"";"";"";"";"";"";"";"";"";"";
"A3";"PADSMD-050X050";"PADSMD-050X050";"SMD-050X050";"Solder Pad";"";"";"";"";"";"";"";"";"";"";
"A4";"PADSMD-050X050";"PADSMD-050X050";"SMD-050X050";"Solder Pad";"";"";"";"";"";"";"";"";"";"";
"A5";"PADSMD-050X050";"PADSMD-050X050";"SMD-050X050";"Solder Pad";"";"";"";"";"";"";"";"";"";"";
"A6";"PADSMD-050X050";"PADSMD-050X050";"SMD-050X050";"Solder Pad";"";"";"";"";"";"";"";"";"";"";
"A7";"PADSMD-050X050";"PADSMD-050X050";"SMD-050X050";"Solder Pad";"";"";"";"";"";"";"";"";"";"";
"AREF";"PADSMD-050X050";"PADSMD-050X050";"SMD-050X050";"Solder Pad";"";"";"";"";"";"";"";"";"";"";
"C1";"10uF/16V";"CAPACITOR0603";"0603-CAP";"Capacitor";"0.12";"0.09";"0.05";"";"";"";"";"";"";"";
"C2";"0.0022uF";"CAPACITOR0603";"0603-CAP";"Capacitor";"0.12";"0.09";"0.05";"";"";"";"";"";"";"";
"C3";"10uF/16V";"CAPACITOR0603";"0603-CAP";"Capacitor";"0.12";"0.09";"0.05";"";"";"";"";"";"";"";
"C4";"0.0022uF";"CAPACITOR0603";"0603-CAP";"Capacitor";"0.12";"0.09";"0.05";"";"";"";"";"";"";"";
"C5";"0.0033uF";"CAPACITOR0603";"0603-CAP";"Capacitor";"0.12";"0.09";"0.05";"";"";"";"";"";"";"";
"C6";"0.01uF";"CAPACITOR0603";"0603-CAP";"Capacitor";"0.12";"0.09";"0.05";"";"";"";"";"";"";"";
"C7";"1uF";"CAPACITOR0603";"0603-CAP";"Capacitor";"0.12";"0.09";"0.05";"";"";"";"";"";"";"";
"C8";"0.47uF";"CAPACITOR0603";"0603-CAP";"Capacitor";"0.12";"0.09";"0.05";"";"";"";"";"";"";"";
"C9";"0.1uF";"CAPACITOR0603";"0603-CAP";"Capacitor";"0.12";"0.09";"0.05";"";"";"";"";"";"";"";
"C10";"18pF";"CAPACITOR0603";"0603-CAP";"Capacitor";"0.12";"0.09";"0.05";"";"";"";"";"";"";"";
"C11";"18pF";"CAPACITOR0603";"0603-CAP";"Capacitor";"0.12";"0.09";"0.05";"";"";"";"";"";"";"";
